rps,date,variation
0.111351099044444,2019-05-15,Feature
0.0174979231242093,2019-05-15,Baseline
0.187447103380043,2019-05-15,Feature
0.13990769157978,2019-05-15,Feature
0.0650697536728393,2019-05-15,Baseline
0.219010673046693,2019-05-15,Baseline
0.15013992776697,2019-05-15,Feature
0.182873399054262,2019-05-15,Feature
0.0486894274071023,2019-05-15,Baseline
0.0740789892945243,2019-05-15,Feature
0.130064875038265,2019-05-15,Baseline
0.0988340280087847,2019-05-15,Baseline
0.129590286238308,2019-05-15,Feature
0.171035572363536,2019-05-15,Feature
0.0965510247418486,2019-05-15,Feature
0.070279163148742,2019-05-15,Feature
0.188886899269568,2019-05-15,Baseline
0.201794291895569,2019-05-15,Feature
0.133272406003284,2019-05-15,Feature
0.211315716946388,2019-05-15,Feature
0.140589529197886,2019-05-15,Baseline
0.177673537875378,2019-05-15,Feature
0.153720589591199,2019-05-15,Feature
0.182549193897353,2019-05-15,Baseline
0.215581460517228,2019-05-15,Feature
0.115184063657011,2019-05-15,Baseline
0.0797581067308438,2019-05-15,Baseline
0.160262830031008,2019-05-15,Baseline
0.143425330463611,2019-05-15,Baseline
0.165919743471217,2019-05-15,Feature
0.100523829536072,2019-05-15,Feature
0.136601189859926,2019-05-15,Baseline
0.141551552716146,2019-05-15,Feature
0.10460937095519,2019-05-15,Feature
0.115044223391069,2019-05-15,Feature
0.203825209305633,2019-05-15,Feature
0.229567291859348,2019-05-15,Feature
0.150666311698844,2019-05-15,Feature
0.0913128150523084,2019-05-15,Baseline
0.103767099517096,2019-05-15,Baseline
0.112117766571919,2019-05-15,Feature
0.108225706829799,2019-05-15,Feature
0.17286560647582,2019-05-15,Feature
0.0522118829612423,2019-05-15,Feature
0.0714110253640376,2019-05-15,Feature
0.17069292947134,2019-05-15,Feature
0.150097776275061,2019-05-15,Baseline
0.104613223877039,2019-05-15,Feature
0.136111209234973,2019-05-15,Feature
0.188190517979191,2019-05-15,Feature
0.125496278786452,2019-05-15,Feature
0.17116308092711,2019-05-15,Baseline
0.143775212432404,2019-05-15,Feature
0.166004887366359,2019-05-15,Baseline
0.167019632638207,2019-05-15,Feature
0.241638569566029,2019-05-15,Baseline
0.14362851318681,2019-05-15,Baseline
0.131710614730195,2019-05-15,Feature
0.115365675351591,2019-05-15,Feature
0.0716904813100256,2019-05-15,Baseline
0.13990846050921,2019-05-15,Feature
0.142461329458675,2019-05-15,Feature
0.139158006786797,2019-05-15,Feature
0.217482097468419,2019-05-15,Feature
0.217166631333747,2019-05-15,Feature
0.148951451082596,2019-05-15,Feature
0.114661022305272,2019-05-15,Feature
0.218202483192177,2019-05-15,Feature
0.173624174282267,2019-05-15,Feature
0.134669439964743,2019-05-15,Feature
0.0770073507386859,2019-05-15,Feature
0.12843485450112,2019-05-15,Feature
0.183385288460788,2019-05-15,Feature
0.168687153393617,2019-05-15,Feature
0.219115888024359,2019-05-15,Feature
0.122951151140335,2019-05-15,Feature
0.223367602505879,2019-05-15,Feature
0.126265733384809,2019-05-15,Feature
0.201463643651959,2019-05-15,Feature
0.0623442388997815,2019-05-15,Feature
0.0348457111324046,2019-05-15,Feature
0.192066073326426,2019-05-15,Feature
0.0892915406915629,2019-05-15,Feature
0.205926974204355,2019-05-15,Feature
0.117947231257439,2019-05-15,Baseline
0.16924813147731,2019-05-15,Feature
0.13744862182326,2019-05-15,Feature
0.163741125836219,2019-05-15,Feature
0.145322071658559,2019-05-15,Feature
0.167649367318894,2019-05-15,Feature
0.152843374819516,2019-05-15,Feature
0.22132771025452,2019-05-15,Feature
0.107620124212602,2019-05-15,Feature
0.129985160463727,2019-05-15,Feature
0.0624144215712057,2019-05-15,Baseline
0.152828958631505,2019-05-15,Feature
0.232701020059645,2019-05-15,Feature
0.188084150690476,2019-05-15,Feature
0.0992732944968427,2019-05-15,Feature
0.175861724793812,2019-05-15,Feature
0.15127600809321,2019-05-15,Feature
0.119411264825415,2019-05-15,Feature
0.158232439848947,2019-05-15,Feature
0.0735304378898217,2019-05-15,Feature
0.192048805175678,2019-05-15,Feature
0.254159793015205,2019-05-15,Feature
0.178694101487426,2019-05-15,Feature
0.160091996526305,2019-05-15,Baseline
0.160194277959856,2019-05-15,Feature
0.178959678829044,2019-05-15,Feature
0.241776498573443,2019-05-15,Feature
0.104692176450958,2019-05-15,Baseline
0.138375610656078,2019-05-15,Baseline
0.0786483943178929,2019-05-15,Feature
0.19093217675094,2019-05-15,Feature
0.165117356844264,2019-05-15,Feature
0.0108190799978369,2019-05-15,Feature
0.184125713717987,2019-05-15,Feature
0.0981997500922034,2019-05-15,Feature
0.174856898748456,2019-05-15,Feature
0.217398438384034,2019-05-15,Feature
0.152704085254498,2019-05-15,Baseline
0.149868165004556,2019-05-15,Feature
0.0995044590490132,2019-05-15,Feature
0.132784884463689,2019-05-15,Baseline
0.171824794867842,2019-05-15,Feature
0.0843956011343034,2019-05-15,Baseline
0.0713454810633571,2019-05-15,Baseline
0.153814374821296,2019-05-15,Feature
0.029360338811843,2019-05-15,Baseline
0.170047262857692,2019-05-15,Feature
0.183794632359961,2019-05-15,Feature
0.225634359561656,2019-05-15,Feature
0.203184149004424,2019-05-15,Feature
0.143458607416636,2019-05-15,Feature
0.212368599196001,2019-05-15,Feature
0.142565152878405,2019-05-15,Feature
0.227445492637852,2019-05-15,Feature
0.143564911260772,2019-05-15,Feature
0.103970254171326,2019-05-15,Feature
0.121512853637315,2019-05-15,Feature
0.127542372920287,2019-05-15,Baseline
0.105177167213685,2019-05-15,Baseline
0.128441705129382,2019-05-15,Feature
0.132849211154227,2019-05-15,Feature
0.145561763941183,2019-05-15,Feature
0.270928635625109,2019-05-15,Feature
0.0442565437696344,2019-05-15,Feature
0.0491687659206346,2019-05-15,Baseline
0.173323115203888,2019-05-15,Feature
0.146785087019607,2019-05-15,Feature
0.105932408371427,2019-05-15,Feature
0.0519970885468486,2019-05-15,Feature
0.196352548289703,2019-05-15,Feature
0.164917988600152,2019-05-15,Baseline
0.205260679503523,2019-05-15,Feature
0.173380928684638,2019-05-15,Feature
0.230248080460472,2019-05-15,Feature
0.115554322823006,2019-05-15,Baseline
0.155873935272707,2019-05-15,Feature
0.107032641858015,2019-05-15,Feature
0.178890457874391,2019-05-15,Feature
0.113702306040889,2019-05-15,Feature
0.107412053880598,2019-05-15,Feature
0.159333610970527,2019-05-15,Feature
0.19918348653515,2019-05-15,Feature
0.164529600734297,2019-05-15,Feature
0.131255056940644,2019-05-15,Feature
0.155100401316831,2019-05-15,Feature
0.164080400353856,2019-05-15,Feature
0.0971717237501458,2019-05-15,Feature
0.171711154599284,2019-05-15,Feature
0.103042883597108,2019-05-15,Feature
0.205436925964081,2019-05-15,Feature
0.217944642573807,2019-05-15,Feature
0.166433328423635,2019-05-15,Feature
0.156137188087308,2019-05-15,Feature
0.110885113655907,2019-05-15,Feature
0.121592444558805,2019-05-15,Baseline
0.147196938444087,2019-05-15,Feature
0.175047112889072,2019-05-15,Feature
0.0763905016958782,2019-05-15,Feature
0.206133044102145,2019-05-15,Feature
0.11514240686055,2019-05-15,Feature
0.14894174718592,2019-05-15,Feature
0.211697031825171,2019-05-15,Feature
0.132026036006822,2019-05-15,Feature
0.155837260495386,2019-05-15,Baseline
0.0666682029536328,2019-05-15,Feature
0.15802064509983,2019-05-15,Feature
0.20509647335458,2019-05-15,Baseline
0.0845230907759912,2019-05-15,Baseline
0.160361524965621,2019-05-15,Feature
0.17307549997657,2019-05-15,Feature
0.0639374318064838,2019-05-15,Baseline
0.150725979176666,2019-05-15,Feature
0.179474670563631,2019-05-15,Feature
0.156729175547937,2019-05-15,Feature
0.0417458344838529,2019-05-15,Feature
0.266384861146243,2019-05-15,Feature
0.219361948774943,2019-05-15,Feature
0.141318497213054,2019-05-15,Feature
